ts	tag	phase	kind	source	chr21_rec	chr21_prec	chr22_rec	chr22_prec	pool_rec	pool_prec	accepted	note
2026-06-25T19:11:08Z	f_cp3	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.11	49.34	83.33	53.69	82.73	51.57	pending	CATCHALL_MIN_COPIES=3
2026-07-06T00:35:13Z	x_ex55cp3	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	81.49	49.47	82.80	53.79	82.16	51.68	pending	excess0.55+copies3
2026-07-06T00:40:37Z	x_cp3	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.11	49.34	83.33	53.69	82.73	51.57	pending	samecode_ref_copies3
2026-07-06T00:40:38Z	x_ex45	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	83.33	47.76	84.27	52.42	83.81	50.13	pending	excess0.45
2026-07-06T00:40:39Z	x_base	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	83.57	47.60	84.50	52.34	84.05	50.01	pending	samecode_ref_nofilter
2026-07-06T00:40:42Z	x_ex55	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.56	48.24	83.71	52.82	83.15	50.58	pending	excess0.55
2026-07-06T00:40:53Z	x_ex65	5	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	80.75	49.41	82.37	53.77	81.58	51.64	pending	excess0.65
2026-08-06T06:10:43Z	fsw_068	F	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.71	48.31	83.89	52.95	83.32	50.68	pending	F-proxy single-knob identity sweep, ident=0.68
2026-08-06T06:12:05Z	fsw_off	F	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	68.46	52.84	70.92	57.74	69.72	55.35	pending	F-proxy single-knob identity sweep, ident=off
2026-08-06T06:12:36Z	fsw_072	F	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	81.95	49.73	83.19	54.09	82.59	51.96	pending	F-proxy single-knob identity sweep, ident=0.72
2026-08-06T06:12:39Z	fsw_076	F	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	74.38	52.04	77.04	56.26	75.74	54.22	pending	F-proxy single-knob identity sweep, ident=0.76
2026-08-06T06:12:44Z	fsw_080	F	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	74.17	52.04	76.89	56.26	75.56	54.22	pending	F-proxy single-knob identity sweep, ident=0.80
